"code","iso","country","EBI.raw.2016","EBI.raw.2017","EBI.raw.2018","EBI.raw.2019"
4,"AFG","Afghanistan","39.3","38.9","37.1","44.2"
8,"ALB","Albania","58.1","64.2","66.8","67"
12,"DZA","Algeria","44.2","46.1","46.2","48.5"
20,"AND","Andorra",NA,NA,NA,NA
24,"AGO","Angola","37.6","37.7","39","41.2"
660,"AIA","Anguilla",NA,NA,NA,NA
28,"ATG","Antigua and Barbuda","59.2","58.8","59.8","59.9"
32,"ARG","Argentina","56.7","57.2","57.3","58.2"
51,"ARM","Armenia","69.1","70.6","71.5","73.2"
533,"ABW","Aruba",NA,NA,NA,NA
36,"AUS","Australia","80.4","80.2","80.8","80.7"
40,"AUT","Austria","78.8","78.9","78.7","78.7"
31,"AZE","Azerbaijan","65.4","64.3","66.8","73.6"
44,"BHS","Bahamas","57.1","56.9","58.6","59.4"
48,"BHR","Bahrain","66.6","68.7","69.1","70.1"
50,"BGD","Bangladesh","40.9","41","41.6","42.5"
52,"BRB","Barbados","57.7","57.8","57.7","57.7"
112,"BLR","Belarus","68.7","72.6","73.6","74.4"
56,"BEL","Belgium","72.4","72.4","72.2","74.7"
84,"BLZ","Belize","55.4","55.4","55.3","55.3"
204,"BEN","Benin","48.7","49.7","51.6","51.7"
60,"BMU","Bermuda",NA,NA,NA,NA
64,"BTN","Bhutan","64.9","65","65.8","66"
68,"BOL","Bolivia","49.8","50.2","51","51.6"
70,"BIH","Bosnia and Herzegovina","64.1","64.8","65.2","65.4"
72,"BWA","Botswana","65.5","65.6","65.7","66.2"
76,"BRA","Brazil","55.6","55.2","55.6","58.6"
92,"VGB","British Virgin Islands",NA,NA,NA,NA
96,"BRN","Brunei Darussalam","57.5","62.9","67.7","69.6"
100,"BGR","Bulgaria","72.5","71.6","71.7","71.8"
854,"BFA","Burkina Faso","50.7","50.9","51.2","51.3"
108,"BDI","Burundi","45.6","45.7","45.9","46.5"
132,"CPV","Cabo Verde","53.4","53.4","54","54"
116,"KHM","Cambodia","52.9","53.2","53.4","53.8"
120,"CMR","Cameroon","41.9","41.8","45.1","46"
124,"CAN","Canada","79.8","79.5","79.3","79.7"
136,"CYM","Cayman Islands",NA,NA,NA,NA
140,"CAF","Central African Republic","32","32","32.4","34.8"
148,"TCD","Chad","35.3","36","35.5","36.7"
152,"CHL","Chile","71.2","71.6","72","72.3"
156,"CHN","China","63.1","64.6","65.2","74"
170,"COL","Colombia","68.9","69.2","69","69.2"
174,"COM","Comoros","46.2","46.4","46.9","47"
184,"COK","Cook Islands",NA,NA,NA,NA
188,"CRI","Costa Rica","67.7","67.7","69.3","68.8"
384,"CIV","Cote d'Ivoire","50.3","51","53","58.3"
191,"HRV","Croatia","71.4","72.2","72.6","73"
192,"CUB","Cuba",NA,NA,NA,NA
531,"CUW","Curacao",NA,NA,NA,NA
196,"CYP","Cyprus","72","72.3","72.3","72.8"
203,"CZE","Czech Republic","76.1","76.4","76.4","76.3"
180,"COD","Dem. Rep. Congo","34.4","34.4","34.6","35.2"
208,"DNK","Denmark","84.5","84.6","84.6","85.2"
262,"DJI","Djibouti","44.3","47.2","50.9","58.4"
212,"DMA","Dominica","61.5","61.2","61.7","60.5"
214,"DOM","Dominican Republic","57.9","57.7","59.1","59.3"
218,"ECU","Ecuador","57.1","57.5","57.5","57.6"
818,"EGY","Egypt","54.7","55.5","55.8","58.5"
222,"SLV","El Salvador","62.4","62.7","64.7","64.9"
226,"GNQ","Equatorial Guinea","40","38.5","40.3","40.5"
232,"ERI","Eritrea","20.9","20.9","21.4","21.5"
233,"EST","Estonia","80.5","80.7","80.8","80.8"
748,"SWZ","Eswatini","56.9","58.4","58.6","58.7"
231,"ETH","Ethiopia","43.8","44.1","46.1","47.1"
234,"FRO","Faeroe Islands",NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA
242,"FJI","Fiji","62.8","61.3","61.3","61.4"
246,"FIN","Finland","80.1","80.1","80","80"
250,"FRA","France","76.1","76.3","76","76.8"
258,"PYF","French Polynesia",NA,NA,NA,NA
266,"GAB","Gabon","44","43.7","44.7","44.5"
270,"GMB","Gambia","46.2","47.8","47.8","47.8"
268,"GEO","Georgia","78.3","80.8","83","83.5"
