"code","iso","country","CTH.raw.1950","CTH.raw.1951","CTH.raw.1952","CTH.raw.1953","CTH.raw.1954","CTH.raw.1955","CTH.raw.1956","CTH.raw.1957","CTH.raw.1958","CTH.raw.1959","CTH.raw.1960","CTH.raw.1961","CTH.raw.1962","CTH.raw.1963","CTH.raw.1964","CTH.raw.1965","CTH.raw.1966","CTH.raw.1967","CTH.raw.1968","CTH.raw.1969","CTH.raw.1970","CTH.raw.1971","CTH.raw.1972","CTH.raw.1973","CTH.raw.1974","CTH.raw.1975","CTH.raw.1976","CTH.raw.1977","CTH.raw.1978","CTH.raw.1979","CTH.raw.1980","CTH.raw.1981","CTH.raw.1982","CTH.raw.1983","CTH.raw.1984","CTH.raw.1985","CTH.raw.1986","CTH.raw.1987","CTH.raw.1988","CTH.raw.1989","CTH.raw.1990","CTH.raw.1991","CTH.raw.1992","CTH.raw.1993","CTH.raw.1994","CTH.raw.1995","CTH.raw.1996","CTH.raw.1997","CTH.raw.1998","CTH.raw.1999","CTH.raw.2000","CTH.raw.2001","CTH.raw.2002","CTH.raw.2003","CTH.raw.2004","CTH.raw.2005","CTH.raw.2006","CTH.raw.2007","CTH.raw.2008","CTH.raw.2009","CTH.raw.2010","CTH.raw.2011","CTH.raw.2012","CTH.raw.2013","CTH.raw.2014"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",1719.3,2386.01,3777.5,3664.72,4337.66,3268.15,2599.05,2942.6,2409.21,2440.89,2351.66,2904.56,2399.29,2676.19,2488.36,3707.21,3584.6,5047.96,5875.64,6808.71,7251.44,7254.53,7238.87,7211.64,7558.31,7564.91,7624.38,7604.91,8309.27,8235.29,8180.59,8386.35,7702.81,7938.81,5891.57,9877.53,9407.48,11475.91,11218.73,9460.91,10941.16,3155.08,2431.31,2436.48,2175.96,3375.92,10189.47,5393.42,5758.4,8360.87,5946.09,9732.3,3280.88,3131.57,3995.91,4464.8,5058.88,4322.41,5242.6,5376.12,4845.07,3945.15,4253.05,4709.58,5075.16
12,"DZA","Algeria",57351.98,52144.05,58929.06,51750.02,49865.87,55309.79,51600.07,51008.52,46222.22,49892.94,54064.77,58493.17,43418.25,40509.89,40350.27,41459.93,44704.15,44591.92,41118.48,47058.98,46814.82,46327.1,52969.66,57673.23,63691.14,67604.53,66015.91,77967.02,67105.85,74813.28,87814.81,112489.64,158158.36,172698.76,138898.23,144829.26,125241.34,152620.57,173045.36,161396.17,151007.86,140559.84,159518.59,173237.37,216463.48,177051.82,151228.76,167584.23,170902.4,184307.07,200119.41,227690.12,237336.47,253452.13,229652.37,249901.71,278290.73,280636.77,267547.34,253697.31,235652.96,242021.25,243462.61,235834.95,187270.16
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",177604.56,229555.07,200168.84,270173.06,308696.39,340346.47,483595.78,456995.4,340559.45,339628.29,345209.28,352557.51,414632.49,413804.37,571969.4,484633.18,590422.94,616006.92,615619.01,719459.87,668522.44,692862.61,1005563.95,1029363.26,878033.45,591115.29,469561.34,452124.18,575050.5,503841.41,426995.85,594146.76,592540.11,648811.47,591105.46,436699.05,437749.23,414744.32,1056196.78,1106047.76,778908.02,907936.86,820621.24,764823.7,751536.46,653667,675129.14,662414.51,748632.71,760875.73,857284.9,839776.86,716665.68,627713.6,630935.26,617451.64,647943.45,768388.47,748876.36,688960.32,657733.42,651197.01,653171.62,690072.16,743853.01
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",1429.47,1407.85,1402.86,1375.32,1389.73,1435.67,1477.99,1872.74,2283.07,2064.43,1807.97,2126.4,2131.8,2223.35,2090.71,2235.33,2483.78,4133.48,2230.11,2135.9,2041.74,2061.85,2529.42,2846.64,3044.31,3355.15,3110.66,3316.66,3380.79,2369.3,3518.46,3142.1,2036.7,2142.02,2527.91,3729.41,3692.63,5195.46,2259,1751.49,1686.92,1815.38,2068.94,2244.74,2274.29,2204.44,3379.5,4042.1,3707.28,3539.35,2336.82,2160.38,2767.98,2976.76,2838.15,3355.28,3405.07,3355.41,3863.64,2783.32,2772.43,3348.64,7067.01,5649.99,3789.17
32,"ARG","Argentina",69853.55,110209.55,118880.8,119010.6,124739.64,132034.62,127618.53,145660.38,138693.76,138175.97,161125.58,159081.87,168150.53,179326.47,298211.02,332854.15,412617.18,330550.33,479954.1,433567.14,300182.36,325467.05,336397.43,437769.33,444797.15,310087.31,434922.09,632169.95,884612.79,972718.72,654841.15,584316.64,799183,741394.44,580856.76,745766.14,807587.94,982821.53,1157579.21,1141120.52,1189062.86,1397102.7,1504428.59,1704922.43,1540668.9,1799218.28,1880178.75,2041907.1,1704727.8,1602214.21,1388552.98,1449356.06,1391622.01,1332689.97,1366771.62,1305749.33,1664925.75,1621667.09,1810965.16,1377853.28,1261497.13,1124837.15,1179212.1,1288041.51,1242851.17
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",510.07,487.4,476.59,464.28,471.23,412.16,415.81,407.32,405.16,413.96,412.3,398.2,411.82,447.57,473.37,505.96,563.62,614.49,589.9,607.07,573.76,575.66,691.22,635.22,732.28,884.28,900.52,977.32,1339.65,1166.54,1159.64,1041.89,1539.95,2083.51,2791.42,2116.5,1912,2028.69,3358.53,2906.37,3224.73,2865.74,3667.68,3082.69,6700.17,2577.7,4158.46,7255.49,3329.83,2873.12,5278.58,5773.22,2872.42,4294.72,7788.45,3025.51,1973.95,3992.23,4166.46,3400.8,2599.1,6694.86,1948.98,1954.52,1915.99
